,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title
5,0.548,0.878,5,-3.261,0,0.0517,0.0769,3.64e-06,0.631,0.491,87.887,audio_features,7CVug9n4FomAqQV4RCunYv,spotify:track:7CVug9n4FomAqQV4RCunYv,https://api.spotify.com/v1/tracks/7CVug9n4FomAqQV4RCunYv,https://api.spotify.com/v1/audio-analysis/7CVug9n4FomAqQV4RCunYv,308987,4,光
6,0.529,0.931,4,-1.538,1,0.0581,0.00955,0.0,0.465,0.695,92.466,audio_features,64yajM6CxtLghmgB53VeXT,spotify:track:64yajM6CxtLghmgB53VeXT,https://api.spotify.com/v1/tracks/64yajM6CxtLghmgB53VeXT,https://api.spotify.com/v1/audio-analysis/64yajM6CxtLghmgB53VeXT,212547,4,インフェルノ
7,0.213,0.864,8,-5.71,1,0.401,0.0301,9.68e-05,0.0465,0.13,177.921,audio_features,2XDLLEFWTuCRBZy21fRpcm,spotify:track:2XDLLEFWTuCRBZy21fRpcm,https://api.spotify.com/v1/tracks/2XDLLEFWTuCRBZy21fRpcm,https://api.spotify.com/v1/audio-analysis/2XDLLEFWTuCRBZy21fRpcm,129187,3,Yumetourou
8,0.661,0.446,4,-6.808,1,0.046,0.696,0.0,0.0761,0.46,89.961,audio_features,53maoOKr6j04iqk6qjdvQN,spotify:track:53maoOKr6j04iqk6qjdvQN,https://api.spotify.com/v1/tracks/53maoOKr6j04iqk6qjdvQN,https://api.spotify.com/v1/audio-analysis/53maoOKr6j04iqk6qjdvQN,240120,4,花に亡霊
9,0.591,0.859,9,-5.463,1,0.0554,0.0402,1.58e-05,0.0596,0.328,122.989,audio_features,376H9fw1l6spwIfiNSDBmJ,spotify:track:376H9fw1l6spwIfiNSDBmJ,https://api.spotify.com/v1/tracks/376H9fw1l6spwIfiNSDBmJ,https://api.spotify.com/v1/audio-analysis/376H9fw1l6spwIfiNSDBmJ,289573,4,STYX HELIX
10,0.391,0.986,4,-1.51,1,0.0807,0.000778,0.00717,0.304,0.555,174.024,audio_features,3DpnZMnlXIVWVB8RWFjuAI,spotify:track:3DpnZMnlXIVWVB8RWFjuAI,https://api.spotify.com/v1/tracks/3DpnZMnlXIVWVB8RWFjuAI,https://api.spotify.com/v1/audio-analysis/3DpnZMnlXIVWVB8RWFjuAI,263067,4,君のせい
11,0.459,0.911,1,-4.568,1,0.114,0.000893,0.0,0.226,0.475,96.541,audio_features,3ISBmcdNPprA32RCm3tx50,spotify:track:3ISBmcdNPprA32RCm3tx50,https://api.spotify.com/v1/tracks/3ISBmcdNPprA32RCm3tx50,https://api.spotify.com/v1/audio-analysis/3ISBmcdNPprA32RCm3tx50,267177,4,ANIMA
12,0.579,0.952,5,-2.678,0,0.054,0.00459,0.0,0.113,0.352,94.026,audio_features,1HHOkD7fuNCBnImFrlDRVi,spotify:track:1HHOkD7fuNCBnImFrlDRVi,https://api.spotify.com/v1/tracks/1HHOkD7fuNCBnImFrlDRVi,https://api.spotify.com/v1/audio-analysis/1HHOkD7fuNCBnImFrlDRVi,270307,4,決戦スピリット
13,0.521,0.933,11,-4.874,0,0.179,0.034,2.07e-05,0.33,0.607,169.842,audio_features,3xVCQGla5LLhrwqNS2FcHo,spotify:track:3xVCQGla5LLhrwqNS2FcHo,https://api.spotify.com/v1/tracks/3xVCQGla5LLhrwqNS2FcHo,https://api.spotify.com/v1/audio-analysis/3xVCQGla5LLhrwqNS2FcHo,215973,4,火炎
14,0.477,0.685,2,-4.554,1,0.0325,0.105,0.0,0.282,0.308,152.04,audio_features,08c9t8xZCZt7lVVTNeXpzn,spotify:track:08c9t8xZCZt7lVVTNeXpzn,https://api.spotify.com/v1/tracks/08c9t8xZCZt7lVVTNeXpzn,https://api.spotify.com/v1/audio-analysis/08c9t8xZCZt7lVVTNeXpzn,274412,4,炎
15,0.814,0.785,1,-5.679,0,0.0396,0.0524,0.00111,0.111,0.941,120.009,audio_features,5P8lyudWE7HQxb4ludLbEm,spotify:track:5P8lyudWE7HQxb4ludLbEm,https://api.spotify.com/v1/tracks/5P8lyudWE7HQxb4ludLbEm,https://api.spotify.com/v1/audio-analysis/5P8lyudWE7HQxb4ludLbEm,255040,4,恋愛サーキュレーション
16,0.603,0.964,8,-2.886,0,0.0487,0.00655,3.04e-06,0.143,0.796,135.028,audio_features,6qWEpnyU43Bcrx3vfbGuVm,spotify:track:6qWEpnyU43Bcrx3vfbGuVm,https://api.spotify.com/v1/tracks/6qWEpnyU43Bcrx3vfbGuVm,https://api.spotify.com/v1/audio-analysis/6qWEpnyU43Bcrx3vfbGuVm,206180,4,Touch You
17,0.42,0.954,9,-1.249,1,0.106,0.308,3.71e-05,0.118,0.257,172.909,audio_features,7B2YKWz6UoXvOUEX32r3ov,spotify:track:7B2YKWz6UoXvOUEX32r3ov,https://api.spotify.com/v1/tracks/7B2YKWz6UoXvOUEX32r3ov,https://api.spotify.com/v1/audio-analysis/7B2YKWz6UoXvOUEX32r3ov,260267,4,Snow halation
18,0.656,0.976,10,-2.881,1,0.0609,0.268,0.0366,0.367,0.902,135.01,audio_features,7p5usmrIgm3iV1qpYXBsXd,spotify:track:7p5usmrIgm3iV1qpYXBsXd,https://api.spotify.com/v1/tracks/7p5usmrIgm3iV1qpYXBsXd,https://api.spotify.com/v1/audio-analysis/7p5usmrIgm3iV1qpYXBsXd,284000,4,Love Supreme!
19,0.667,0.951,8,-5.708,1,0.074,0.0103,0.418,0.226,0.572,135.016,audio_features,2Y3lK46bVHAl8VBx25EMTZ,spotify:track:2Y3lK46bVHAl8VBx25EMTZ,https://api.spotify.com/v1/tracks/2Y3lK46bVHAl8VBx25EMTZ,https://api.spotify.com/v1/audio-analysis/2Y3lK46bVHAl8VBx25EMTZ,277000,4,Rhapsody of Blue Sky
20,0.318,0.902,1,-4.605,1,0.131,0.0116,0.0,0.393,0.437,199.844,audio_features,3IDF7N86lrcWaJEt9C1gbS,spotify:track:3IDF7N86lrcWaJEt9C1gbS,https://api.spotify.com/v1/tracks/3IDF7N86lrcWaJEt9C1gbS,https://api.spotify.com/v1/audio-analysis/3IDF7N86lrcWaJEt9C1gbS,240285,4,Cry Baby
