track_genre,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
country,17.028,205999.026,0.03,0.555294,0.5968052,5.479,-7.281778,0.889,0.042268,0.321226736,0.00558462043,0.1772382,0.5214813,123.963307,3.887
dance,22.69,197756.89,0.174,0.687856,0.708583,5.447,-5.362527,0.533,0.0876378,0.1311856039,0.00835941532,0.1681884,0.5525414,120.128306,3.993
dancehall,33.467,197455.019,0.302,0.734169,0.6852619999999999,5.315,-6.119958,0.488,0.1869861,0.215493569,0.0071340299600000006,0.1567694,0.6290086,112.909984,4.082
death-metal,32.169,247492.705,0.251,0.36841090000000004,0.93147,5.282,-5.350307,0.608,0.1112591,0.0066957065,0.27573075265,0.2432416,0.2476111,123.779016,3.885
deep-house,44.808,219344.579,0.025,0.710448,0.741855,5.491,-6.971501,0.462,0.0599097,0.10145172488,0.23761450877,0.1708076,0.4472821,120.874904,3.984
detroit-techno,11.174,372012.402,0.007,0.722568,0.7105123999999999,5.825,-11.085944,0.499,0.07271670000000001,0.06564069705999999,0.6995483518,0.15450909999999998,0.4692299,126.59223399999999,3.985
disco,33.522,245902.859,0.006,0.676692,0.737565,5.327,-7.422032,0.627,0.0592516,0.1662128304,0.08095198711,0.1953252,0.6707538,121.97438000000001,3.957
disney,27.536,156257.344,0.001,0.46287419999999996,0.30251886,4.441,-14.969963,0.793,0.0748771,0.7428922646,0.38355346894000003,0.16853030000000002,0.3685574,112.060854,3.806
drum-and-bass,26.657,278791.356,0.026,0.535486,0.8766349999999999,5.397,-4.159624,0.471,0.0916362,0.025930575560000002,0.37143774644,0.2205559,0.32147390000000003,155.241712,4.007
dub,40.039,231639.698,0.074,0.575321,0.714817,5.341,-6.04989,0.583,0.09729600000000001,0.1224407862,0.08852665392999999,0.1895502,0.3867285,129.450647,3.979
dubstep,42.317,226806.397,0.095,0.518087,0.758969,5.304,-5.063413,0.596,0.0903804,0.1136410973,0.09307878863,0.19962649999999998,0.2717089,133.631709,3.969
edm,35.032,193091.936,0.106,0.64822,0.756196,5.754,-5.280398,0.521,0.07038599999999999,0.11427024799999999,0.040052845249999997,0.19296719999999998,0.4651983,122.037299,3.982
electro,36.075,193970.478,0.153,0.651749,0.665,5.505,-6.126304,0.569,0.07943040000000001,0.227599936,0.037723350860000004,0.1850172,0.46674329999999997,120.83505899999999,3.962
electronic,44.325,233013.326,0.12,0.652945,0.6947523,5.402,-7.142963,0.512,0.08176779999999999,0.17702646910000003,0.24869727176,0.19077629999999998,0.39183890000000005,122.947839,3.964
emo,48.128,189690.33,0.465,0.599321,0.6699669202999999,5.323,-6.718621,0.629,0.1089572,0.19508066629999998,0.03028117864,0.18373759999999997,0.441135,126.992643,3.961
folk,38.006,264144.242,0.006,0.558514,0.545807,5.103,-9.032255,0.759,0.0587055,0.475332133,0.03767461184,0.17610659999999997,0.4906028,118.469526,3.76
